#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      2.49e+01    2.42e+01      1.14e+00    1.15e+00      7.85e-01    7.62e-01    1.0e-03
    100      1.09e+01    1.16e+01      1.81e-01    2.26e-01      3.45e-01    3.65e-01    1.0e-03
    200      8.34e+00    8.19e+00      6.94e-02    5.86e-02      2.64e-01    2.59e-01    1.0e-03
    300      7.80e+00    7.38e+00      6.40e-02    1.18e-02      2.47e-01    2.33e-01    1.0e-03
    400      5.89e+00    6.36e+00      8.86e-03    5.82e-02      1.86e-01    2.01e-01    1.0e-03
    500      5.93e+00    6.27e+00      5.02e-02    2.25e-02      1.87e-01    1.98e-01    1.0e-03
    600      6.26e+00    5.73e+00      1.31e-02    2.77e-02      1.98e-01    1.81e-01    1.0e-03
    700      5.52e+00    5.41e+00      6.79e-03    9.13e-03      1.75e-01    1.71e-01    1.0e-03
    800      5.12e+00    5.37e+00      3.03e-02    2.96e-02      1.62e-01    1.70e-01    1.0e-03
    900      4.38e+00    4.61e+00      5.73e-02    5.26e-02      1.38e-01    1.46e-01    1.0e-03
   1000      4.91e+00    4.86e+00      9.67e-04    3.30e-03      1.55e-01    1.54e-01    1.0e-03
   1100      5.09e+00    4.65e+00      2.19e-02    2.09e-02      1.61e-01    1.47e-01    1.0e-03
   1200      4.05e+00    4.98e+00      1.05e-01    1.03e-01      1.28e-01    1.57e-01    1.0e-03
   1300      4.23e+00    4.32e+00      5.44e-03    9.68e-03      1.34e-01    1.37e-01    1.0e-03
   1400      4.68e+00    4.75e+00      2.29e-02    4.90e-02      1.48e-01    1.50e-01    1.0e-03
   1500      4.11e+00    4.15e+00      1.89e-02    2.67e-02      1.30e-01    1.31e-01    1.0e-03
   1600      4.21e+00    4.09e+00      8.16e-03    8.22e-03      1.33e-01    1.29e-01    1.0e-03
   1700      3.51e+00    4.49e+00      1.13e-03    1.65e-02      1.11e-01    1.42e-01    1.0e-03
   1800      3.60e+00    3.54e+00      2.91e-02    3.18e-02      1.14e-01    1.12e-01    1.0e-03
   1900      3.62e+00    3.59e+00      4.26e-02    5.11e-02      1.14e-01    1.13e-01    1.0e-03
   2000      3.74e+00    3.06e+00      1.94e-02    1.09e-02      1.18e-01    9.68e-02    1.0e-03
   2100      3.70e+00    3.34e+00      7.48e-02    9.07e-02      1.17e-01    1.05e-01    1.0e-03
